homeid,roomid,appliancetype,times used,years,savings(pences)
96,999,kettle,87,0.13,108.98
73,781,kettle,439,1.32,159.64
105,1110,kettle,1621,1.1,1078.13
268,2471,kettle,160,0.17,63.35
276,2561,kettle,7,0.05,4.90
90,957,kettle,919,1.22,703.21
264,2437,kettle,435,0.27,230.84
65,733,kettle,2227,1.41,675.24
61,695,kettle,1371,0.71,616.73
328,2980,kettle,25,0.02,13.98
262,2414,kettle,10,0.0,3.23
63,720,kettle,1103,1.37,490.51
231,2147,kettle,532,0.21,340.91
249,2305,kettle,373,0.14,198.33
311,2857,kettle,21,0.02,9.53
62,710,kettle,1792,1.71,1012.90
259,2487,kettle,75,0.07,23.29
175,1636,kettle,854,0.74,296.40
208,1935,kettle,548,0.44,228.05
227,2103,kettle,461,0.27,301.31
136,1294,kettle,130,0.03,28.75
128,1253,kettle,489,0.88,203.86
162,1622,kettle,0,,0.00
136,1294,kettle,25,0.01,9.30
168,1534,kettle,619,0.24,258.36
168,1534,kettle,6,0.0,7.02
146,1355,kettle,1134,0.58,176.90
106,1085,kettle,458,1.07,258.04
73,781,washingmachine,139,1.33,729.15
105,1110,washingmachine,99,1.03,389.10
106,1085,washingmachine,175,1.05,1746.14
136,1294,washingmachine,37,0.85,198.90
128,1253,washingmachine,14,0.41,195.57
139,1315,washingmachine,63,0.67,370.28
175,1636,washingmachine,118,0.61,691.38
171,1565,washingmachine,64,0.54,341.33
145,1349,washingmachine,40,0.64,268.61
208,1935,washingmachine,73,0.27,382.02
227,2103,washingmachine,51,0.12,370.12
238,2202,washingmachine,18,0.18,62.66
242,2241,washingmachine,174,0.39,1316.30
212,1968,washingmachine,103,0.53,683.41
227,2103,washingmachine,61,0.43,424.71
231,2147,washingmachine,64,0.28,335.11
96,999,washingmachine,172,0.41,653.20
228,2109,washingmachine,90,0.49,419.10
268,2471,washingmachine,17,0.15,55.43
65,733,washingmachine,187,1.08,1785.22
264,2437,washingmachine,54,0.27,414.84
62,710,washingmachine,250,1.7,1868.17
255,2363,washingmachine,19,0.14,88.68
311,2857,washingmachine,9,0.02,24.79
175,1641,dehumidifier,526,0.53,502.92
136,1291,dehumidifier,78,0.22,18.94
276,2561,washingmachinetumbledrier,16,0.05,34.36
263,2428,washingmachinetumbledrier,74,0.25,442.32
266,2454,washingmachinetumbledrier,21,0.15,307.41
249,2305,washingmachinetumbledrier,79,0.41,449.12
168,1534,washingmachinetumbledrier,56,0.09,444.32
63,720,washingmachinetumbledrier,205,1.56,1802.84
169,1542,washingmachinetumbledrier,157,0.63,2260.66
162,1622,washingmachinetumbledrier,2080,0.61,1328.41
146,1355,washingmachinetumbledrier,133,0.57,2680.39
259,2488,tumbledrier,9,0.03,14.43
212,1968,tumbledrier,3,0.32,11.70
168,1534,tumbledrier,36,0.67,86.84
65,733,dishwasher,101,1.08,695.51
96,999,dishwasher,141,0.89,1005.41
311,2857,dishwasher,3,0.02,16.44
105,1110,dishwasher,53,1.01,845.56
264,2437,dishwasher,23,0.26,205.07
61,695,dishwasher,195,0.91,1908.06
238,2202,dishwasher,25,0.18,199.48
63,720,dishwasher,103,1.44,863.18
263,2430,dishwasher,41,0.25,496.42
231,2147,dishwasher,4,0.25,31.91
259,2487,dishwasher,15,0.05,128.35
255,2357,dishwasher,10,0.18,66.98
249,2305,dishwasher,63,0.41,471.25
242,2240,dishwasher,64,0.38,386.14
62,710,dishwasher,538,1.71,2038.92
175,1636,dishwasher,112,0.73,1377.17
169,1542,dishwasher,489,0.62,955.61
212,1973,dishwasher,65,0.53,767.12
136,1294,dishwasher,28,0.82,323.22
139,1315,dishwasher,71,0.67,368.25
